카테고리,메뉴명,레시피,레시피 출처,애매함 태그
구이,갈비구이,"갈비, 배즙, 양파즙, 물엿, 설탕, 통깨, 참기름, 후춧가루, 청주, 간장, 육수, 대파, 마늘, 양파, 상추, 깻잎, 생강즙, 월계수잎",농림축산식품부,"has_unclear_seasoning, has_variant"
구이,닭갈비,"닭, 고구마, 양배추, 양파, 흰떡, 깻잎, 고추장, 고춧가루, 설탕, 간장, 깨소금, 생강즙, 참기름",농림축산식품부,"has_unclear_seasoning, has_variant"
구이,불고기,"쇠고기, 진간장, 배즙, 설탕, 다진파, 다진마늘, 깨소금, 후춧가루, 참기름",농림축산식품부,"has_unclear_seasoning, has_variant"
구이,삼겹살,"삼겹살, 새송이버섯, 부추, 양파, 김치",한식진흥원,has_variant
국,육개장,"쇠고기, 양, 곱창, 고사리, 대파, 소금, 물, 고추장, 고춧가루, 진간장, 다진마늘, 참기름, 깨소금, 후춧가루",농림축산식품부,has_unclear_broth
국,미역국,"미역, 다진쇠고기, 마늘, 식용유, 후춧가루, 국간장, 참기름, 물",농림축산식품부,has_unclear_broth
국,떡만두국,"떡국떡, 계란, 구운김, 대파, 다진마늘, 청정원맛선생, 국간장, 참기름, 만두피, 다진돼지고기, 배추김치, 숙주, 두부, 파",농림축산식품부,"has_hidden_animal, has_unclear_broth, has_unclear_jeotgal"
국,콩나물국,"콩나물, 김치, 다진마늘, 실파, 장조림, 청고추, 깨소금, 김, 계란, 쇠구기육수, 새우젓",농림축산식품부,"has_unclear_broth, has_unclear_jeotgal"
국,곰탕,"쇠고기, 양, 무, 대파, 마늘, 국간장, 소금, 후추, 국수, 다진파, 다진마늘, 진간장, 참기름",농림축산식품부,"has_unclear_broth, has_unclear_jeotgal"
국,설렁탕,"소 잡뼈, 사골, 도가니, 양지머리, 파, 마늘, 밀국수, 소금, 후추, 물",농림축산식품부,"has_unclear_broth, has_unclear_jeotgal"
치킨,양념치킨,"닭고기, 튀김가루, 전분, 밀가루, 달걀, 우유, 소금, 후춧가루, 식용유, 고추장, 고춧가루, 케첩, 간장, 물엿, 설탕, 올리고당, 다진 마늘, 다진 생강, 맛술, 식초, 참기름, 통깨, 땅콩분태",직접추가,
치킨,후라이드치킨,"닭고기, 우유, 소금, 후춧가루, 맛술, 다진 마늘, 다진 생강, 튀김가루, 밀가루, 전분, 달걀, 베이킹파우더, 식용유",직접추가,
김치,갓김치,"갓, 무, 소금, 실파, 고춧가루, 마늘, 생강, 멸치젓, 깨소금, 밀가루, 물",농림축산식품부,has_unclear_jeotgal
김치,깍두기,"무, 소금, 고춧가루, 미나리, 실파, 갓, 마늘, 새우젓, 소금, 설탕",농림축산식품부,has_unclear_jeotgal
김치,나박김치,"배추, 미나리, 홍고추, 생강, 무, 대파, 마늘, 소금, 고춧가루, 물",농림축산식품부,has_unclear_jeotgal
김치,무생채,"무, 고춧가루, 식초, 설탕, 소금, 참기름, 다진파, 다진마늘, 깨소금",농림축산식품부,has_unclear_jeotgal
김치,배추김치,"배추, 소금, 고춧가루, 물, 무, 갓, 미나리, 실파, 배, 대파, 마늘, 생강, 멸치젓, 설탕, 깨소금, 소금",농림축산식품부,has_unclear_jeotgal
김치,백김치,"배추, 무, 밤, 배, 대추, 다진마늘, 석이버섯, 대파, 미나리, 실고추, 잣, 소금물, 물, 말린표고버섯, 통생강, 물",농림축산식품부,has_unclear_jeotgal
김치,부추김치,"부추, 다진마늘, 생강, 홍고추, 멸치젓, 고춧가루, 설탕, 소금",농림축산식품부,has_unclear_jeotgal
김치,열무김치,"열무, 풋배추, 소금, 실파, 청고추, 홍고추, 마늘, 생강, 물",농림축산식품부,has_unclear_jeotgal
김치,오이소박이,"오이, 소금, 고춧가루, 부추, 다진파, 다진마늘, 다진생강, 설탕, 진간장, 청주, 소금물, 물",농림축산식품부,has_unclear_jeotgal
김치,총각김치,"총각무, 소금, 대파, 고추가루, 다진마늘, 다진생강, 멸치젓, 새우젓, 설탕, 찹쌀가루, 물, 소금물, 소금",농림축산식품부,has_unclear_jeotgal
김치,파김치,"실파, 까나리액젓, 다진마늘, 다진생강, 고춧가루, 설탕, 소금, 깨소금",농림축산식품부,has_unclear_jeotgal
나물,시금치나물,"시금치, 물, 소금, 멸치액젓, 대파, 홍고추, 통깨, 참기름",농림축산식품부,has_unclear_jeotgal
떡,경단,"찹쌀가루, 소금, 물, 노란 콩가루, 흑임자 가루",한식진흥원,
떡,꿀떡,"멥쌀가루, 물, 쑥 가루, 참기름, 소금, 깨, 설탕",한식진흥원,
떡,송편,"멥쌀, 소금, 쑥, 대추, 솔잎, 참기름, 풋콩, 소금, 깨, 녹두, 꿀, 설탕, 물, 계핏가루",농림축산식품부,
만두,만두,"밀가루, 물, 소금, 다진 소고기, 두부, 숙주, 부추, 다진 파, 다진 마늘, 참기름, 후춧가루, 간장, 식초, 고춧가루, 달걀, 다진생강, 당근, 당면, 버섯, 통깨, 들기름, 미나리","농림축산식품부, 한식진흥원","has_hidden_animal, has_variant"
면,물냉면,"메밀면, 무, 오이, 배, 홍고추, 삶은 계란, 겨자장, 식초, 설탕, 소고기, 양지머리, 물, 대파, 마늘, 통후추, 소금, 동치미 국물, 소고기 육수",한식진흥원,"has_hidden_animal, has_unclear_broth, has_variant"
면,비빔냉면,"메밀면, 무, 오이, 배, 계란, 식초, 겨자장, 소고기, 양지머리, 물, 대파, 마늘, 생각, 통후추, 설탕, 소금, 양파, 사과, 고추장, 고춧가루, 꿀",한식진흥원,"has_hidden_animal, has_unclear_broth, has_variant"
면,칼국수,"건면, 생면, 애호팍, 실파, 다진 마늘, 닭, 대파, 생강, 물, 소금, 후춧가루, 간장, 고춧가루, 다진 파, 다진 풋고추",한식진흥원,"has_hidden_animal, has_unclear_broth, has_variant"
면,잔치국수,"국멸치, 호박, 당근, 채썬쇠고기, 계란, 소면, 소금, 후춧가루, 국간장, 간장, 고춧가루, 다진파, 참기름, 깨소금, 간장, 설탕, 참기름",농림축산식품부,"has_hidden_animal, has_unclear_broth, has_variant"
면,막국수,"메밀면, 배추김치, 오이, 계란, 구운 김, 깨소금, 천일염, 김치 국물, 물, 설탕, 식초, 국간장, 무, 고춧가루, 식초, 설탕, 소금, 홍고추, 고춧가루, 마늘, 양파, 사과, 간장, 참기름, 겨자",한식진흥원,"has_hidden_animal, has_unclear_broth, has_variant"
밥,김밥,"흰밥, 소금, 참기름, 구운 김, 다진 소고기, 다진 단무지, 오이, 당근, 계란, 식용유, 소금, 참기름, 간장, 설탕, 다진 파, 다진 마늘, 후춧가루, 식초, 물",한식진흥원,"has_hidden_animal, has_variant"
