menu_query,candidate_count,recipe_count,ingredient_row_count,skipped_no_ingredients,status
갈비구이,1,0,0,1,no_recipe
닭갈비,12,3,36,9,partial
불고기,47,9,109,38,partial
삼겹살,51,9,52,42,partial
육개장,10,1,11,9,partial
미역국,48,15,92,16,ok
떡만두국,9,0,0,9,no_recipe
콩나물국,23,8,48,15,partial
곰탕,7,1,10,6,partial
설렁탕,0,0,0,0,no_recipe
양념치킨,3,1,6,2,partial
후라이드치킨,0,0,0,0,no_recipe
갓김치,1,0,0,1,no_recipe
깍두기,42,2,11,40,partial
나박김치,3,0,0,3,no_recipe
무생채,9,2,13,7,partial
배추김치,5,0,0,5,no_recipe
백김치,0,0,0,0,no_recipe
부추김치,10,3,15,7,partial
열무김치,12,1,7,11,partial
오이소박이,45,3,12,42,partial
총각김치,1,0,0,1,no_recipe
파김치,26,7,29,19,partial
시금치나물,7,3,16,4,partial
경단,0,0,0,0,no_recipe
꿀떡,1,0,0,1,no_recipe
송편,11,2,14,9,partial
만두,77,13,83,64,partial
물냉면,3,1,9,2,partial
비빔냉면,2,0,0,2,no_recipe
칼국수,16,5,44,11,partial
잔치국수,19,1,7,18,partial
막국수,4,0,0,4,no_recipe
김밥,166,15,160,10,ok
김치볶음밥,27,4,29,23,partial
비빔밥,56,9,87,47,partial
잡채,106,15,103,28,ok
콩나물무침,14,5,28,9,partial
떡볶이,75,9,77,66,partial
라볶이,4,0,0,4,no_recipe
순대,8,1,14,7,partial
오징어 순대,2,0,0,2,no_recipe
떡꼬치,4,0,0,4,no_recipe
보쌈,20,7,28,13,partial
수정과,0,0,0,0,no_recipe
식혜,2,1,4,1,partial
간장게장,1,0,0,1,no_recipe
양념게장,2,0,0,2,no_recipe
깻잎장아찌,0,0,0,0,no_recipe
감자전,23,2,8,21,partial
계란말이,37,15,100,10,ok
김치전,12,1,3,11,partial
동그랑땡,3,0,0,3,no_recipe
애호박전,5,1,15,4,partial
생선전,0,0,0,0,no_recipe
고기전,2,0,0,2,no_recipe
파전,7,1,7,6,partial
곱창전골,0,0,0,0,no_recipe
장조림,49,15,69,7,ok
전복죽,4,0,0,4,no_recipe
호박죽,0,0,0,0,no_recipe
김치찌개,18,3,27,15,partial
된장찌개,43,11,79,32,partial
순두부찌개,13,4,36,9,partial
부대찌개,23,2,22,21,partial
갈비찜,13,3,32,10,partial
족발,10,2,23,8,partial
갈비탕,4,1,6,3,partial
감자탕,3,0,0,3,no_recipe
삼계탕,37,5,32,32,partial
새우튀김,1,1,6,0,partial
약과,1,0,0,1,no_recipe
호떡,18,3,15,15,partial
붕어빵,4,0,0,4,no_recipe
슈크림 붕어빵,0,0,0,0,no_recipe
육회,8,1,9,7,partial
