menu_query,recipe_title,recipe_url,ingredient_raw,ingredient_canonical
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,닭다리살,닭고기
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,양배추,양배추
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,고구마,고구마
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,식용유,식용유
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,대파,대파
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,감자,감자
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,양파,양파
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,깻잎,깻잎
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,조선고추장,고추장
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,새미네부엌 진간장,간장
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,연두진,진
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,굵은 고춧가루,고춧가루
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,다진 마늘,마늘
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,설탕,설탕
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,후추 약간,후춧가루
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,참기름,참기름
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,물,물
닭갈비,매콤 닭갈비,https://semie.cooking/recipe-lab/archive/very-spicy-stir-fried-chicken,소금,소금
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,닭다리살,닭고기
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,식용유,식용유
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,연두 우리콩,우리콩
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,양파,양파
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,양배추,양배추
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,조랭이떡,떡
닭갈비,몸튼튼 맵지 않은 닭갈비,https://semie.cooking/recipe-lab/archive/spicy-stir-fried-chicken,쪽파,쪽파
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,닭다리살,닭고기
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,양배추,양배추
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,깻잎,깻잎
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,우동면,우동면
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,치즈쌀떡,떡
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,양파,양파
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,양조간장,간장
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,고춧가루,고춧가루
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,설탕,설탕
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,올리고당,올리고당
닭갈비,크리스마스엔 닭갈비 🐓,https://semie.cooking/cooking/id/4580,다진마늘,마늘
불고기,초간단 조선불고기,https://semie.cooking/recipe-lab/archive/super-simple-korean-bulgogi,소고기(불고기용,소고기
불고기,초간단 조선불고기,https://semie.cooking/recipe-lab/archive/super-simple-korean-bulgogi,대파,대파
불고기,초간단 조선불고기,https://semie.cooking/recipe-lab/archive/super-simple-korean-bulgogi,양파,양파
불고기,초간단 조선불고기,https://semie.cooking/recipe-lab/archive/super-simple-korean-bulgogi,샘표 조선불고기 양념,샘표조선불고기양념
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,밥,밥
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,티아시아 골드 버터 난 혹은 또띠아,버터
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,샤브샤브용 소고기,소고기
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,식용유,식용유
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,당근,당근
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,양파,양파
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,체다 슬라이스 치즈,치즈
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,새미네부엌 진간장,간장
불고기,불고기부리또,https://semie.cooking/recipe-lab/archive/bulgogi-burrito,설탕,설탕
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,소고기(불고기용,소고기
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,양파,양파
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,대파,대파
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,팽이버섯,팽이버섯
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,새미네부엌 진간장,간장
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,연두진,진
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,물,물
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,설탕,설탕
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,물엿,올리고당
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,참기름,참기름
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,다진 마늘,마늘
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,다진 생강,생강
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,다진 파,대파
불고기,자작자작 서울식 소불고기,https://semie.cooking/recipe-lab/archive/seoul-bulgogi,후추 약간,후춧가루
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,소고기(불고기용,소고기
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,느타리버섯,느타리버섯
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,양파,양파
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,대파,대파
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,쪽파,쪽파
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,식용유,식용유
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,연두순,순
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,설탕,설탕
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,다진 마늘,마늘
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,후추 약간,후춧가루
불고기,버섯불고기솥밥,https://semie.cooking/recipe-lab/archive/beoseot-bulgogi-sotbap,참기름 약간,참기름
