menu_name,ingredient_canonical,n_total,k_count,freq,alpha_prior,beta_prior
갈비찜,당근,3,3,1.0,4.0,1.0
갈비찜,무,3,3,1.0,4.0,1.0
갈비찜,갈비,3,2,0.667,3.0,2.0
갈비찜,대파,3,2,0.667,3.0,2.0
갈비찜,물,3,2,0.667,3.0,2.0
갈비찜,고추,3,2,0.667,3.0,2.0
갈비찜,표고버섯,3,1,0.333,2.0,3.0
갈비찜,양파,3,1,0.333,2.0,3.0
갈비찜,감자,3,1,0.333,2.0,3.0
갈비찜,청양고추,3,1,0.333,2.0,3.0
갈비찜,새미네부엌장조림소스,3,1,0.333,2.0,3.0
갈비찜,후춧가루,3,1,0.333,2.0,3.0
갈비찜,월계수잎,3,1,0.333,2.0,3.0
갈비찜,소고기,3,1,0.333,2.0,3.0
갈비찜,파인애플,3,1,0.333,2.0,3.0
갈비찜,버섯,3,1,0.333,2.0,3.0
갈비찜,알밤(,3,1,0.333,2.0,3.0
갈비찜,간장,3,1,0.333,2.0,3.0
갈비찜,설탕,3,1,0.333,2.0,3.0
갈비찜,맛술,3,1,0.333,2.0,3.0
갈비찜,생강,3,1,0.333,2.0,3.0
갈비찜,마늘,3,1,0.333,2.0,3.0
갈비탕,갈비,1,1,1.0,2.0,1.0
갈비탕,물,1,1,1.0,2.0,1.0
갈비탕,대파,1,1,1.0,2.0,1.0
갈비탕,후춧가루,1,1,1.0,2.0,1.0
갈비탕,순,1,1,1.0,2.0,1.0
감자전,감자,2,2,1.0,3.0,1.0
감자전,식용유,2,1,0.5,2.0,2.0
감자전,양파,2,1,0.5,2.0,2.0
감자전,순,2,1,0.5,2.0,2.0
감자전,라이스페이퍼,2,1,0.5,2.0,2.0
감자전,치즈,2,1,0.5,2.0,2.0
감자전,연두,2,1,0.5,2.0,2.0
계란말이,계란,15,15,1.0,16.0,1.0
계란말이,양파,15,11,0.733,12.0,5.0
계란말이,당근,15,8,0.533,9.0,8.0
계란말이,소금,15,6,0.4,7.0,10.0
계란말이,김,15,5,0.333,6.0,11.0
계란말이,밥,15,4,0.267,5.0,12.0
계란말이,순,15,4,0.267,5.0,12.0
계란말이,참기름,15,4,0.267,5.0,12.0
계란말이,연두,15,4,0.267,5.0,12.0
계란말이,식용유,15,3,0.2,4.0,13.0
계란말이,설탕,15,3,0.2,4.0,13.0
계란말이,쪽파,15,3,0.2,4.0,13.0
계란말이,단무지,15,3,0.2,4.0,13.0
계란말이,부추,15,2,0.133,3.0,14.0
계란말이,후춧가루,15,2,0.133,3.0,14.0
계란말이,햄,15,2,0.133,3.0,14.0
계란말이,채소,15,1,0.067,2.0,15.0
계란말이,대파,15,1,0.067,2.0,15.0
계란말이,요리에센스,15,1,0.067,2.0,15.0
계란말이,애호박,15,1,0.067,2.0,15.0
계란말이,새미네부엌연두순,15,1,0.067,2.0,15.0
계란말이,어묵,15,1,0.067,2.0,15.0
계란말이,쌀,15,1,0.067,2.0,15.0
계란말이,참치,15,1,0.067,2.0,15.0
계란말이,마요네즈,15,1,0.067,2.0,15.0
계란말이,깻잎,15,1,0.067,2.0,15.0
계란말이,샘표요리에센스,15,1,0.067,2.0,15.0
계란말이,깨,15,1,0.067,2.0,15.0
계란말이,치즈,15,1,0.067,2.0,15.0
계란말이,맛살,15,1,0.067,2.0,15.0
계란말이,마늘,15,1,0.067,2.0,15.0
계란말이,파,15,1,0.067,2.0,15.0
계란말이,옥수수콘,15,1,0.067,2.0,15.0
곰탕,소고기,1,1,1.0,2.0,1.0
곰탕,물,1,1,1.0,2.0,1.0
곰탕,양파,1,1,1.0,2.0,1.0
곰탕,대파,1,1,1.0,2.0,1.0
곰탕,생강,1,1,1.0,2.0,1.0
곰탕,마늘,1,1,1.0,2.0,1.0
곰탕,밥,1,1,1.0,2.0,1.0
곰탕,순,1,1,1.0,2.0,1.0
