menu_query,recipe_count,ingredient_row_count,status
갈비구이,3,40,ok
닭갈비,2,42,ok
불고기,60,919,ok
삼겹살,57,945,ok
육개장,69,928,ok
미역국,11,99,ok
떡만두국,147,1917,ok
콩나물국,3,29,ok
곰탕,7,73,ok
설렁탕,0,0,no_recipe
양념치킨,2,36,ok
후라이드치킨,146,2113,ok
갓김치,1,13,ok
깍두기,9,86,ok
나박김치,2,29,ok
무생채,1,11,ok
배추김치,24,354,ok
백김치,2,22,ok
부추김치,0,0,no_recipe
열무김치,5,65,ok
오이소박이,1,12,ok
총각김치,2,31,ok
파김치,2,16,ok
시금치나물,3,27,ok
경단,0,0,no_recipe
꿀떡,0,0,no_recipe
송편,2,25,ok
만두,27,398,ok
물냉면,1,13,ok
비빔냉면,0,0,no_recipe
칼국수,9,126,ok
잔치국수,4,62,ok
막국수,2,14,ok
김밥,55,770,ok
김치볶음밥,1,13,ok
비빔밥,20,304,ok
잡채,20,342,ok
콩나물무침,152,1754,ok
떡볶이,33,484,ok
라볶이,0,0,no_recipe
순대,3,48,ok
오징어 순대,70,1031,ok
떡꼬치,4,45,ok
보쌈,9,157,ok
수정과,1,6,ok
식혜,2,12,ok
간장게장,911,13021,ok
양념게장,46,573,ok
깻잎장아찌,1,9,ok
감자전,3,25,ok
계란말이,9,75,ok
김치전,1,7,ok
동그랑땡,3,47,ok
애호박전,4,59,ok
생선전,0,0,no_recipe
고기전,0,0,no_recipe
파전,5,61,ok
곱창전골,0,0,no_recipe
장조림,14,176,ok
전복죽,1,7,ok
호박죽,2,15,ok
김치찌개,4,46,ok
된장찌개,9,116,ok
순두부찌개,5,84,ok
부대찌개,3,58,ok
갈비찜,11,235,ok
족발,1,11,ok
갈비탕,1,15,ok
감자탕,2,44,ok
삼계탕,5,65,ok
새우튀김,7,77,ok
약과,1,2,ok
호떡,5,45,ok
붕어빵,2,9,ok
슈크림 붕어빵,2,9,ok
육회,1,15,ok
