menu_name,ingredient_canonical,n_total,k_count,freq,alpha_prior,beta_prior
간장게장,간장,911,908,0.997,909.0,4.0
간장게장,마늘,911,599,0.658,600.0,313.0
간장게장,설탕,911,581,0.638,582.0,331.0
간장게장,후춧가루,911,494,0.542,495.0,418.0
간장게장,맛술,911,467,0.513,468.0,445.0
간장게장,참기름,911,440,0.483,441.0,472.0
간장게장,통깨,911,402,0.441,403.0,510.0
간장게장,소금,911,398,0.437,399.0,514.0
간장게장,물,911,365,0.401,366.0,547.0
간장게장,대파,911,364,0.4,365.0,548.0
간장게장,식용유,911,354,0.389,355.0,558.0
간장게장,양파,911,352,0.386,353.0,560.0
간장게장,올리고당,911,307,0.337,308.0,605.0
간장게장,식초,911,271,0.297,272.0,641.0
간장게장,고추,911,257,0.282,258.0,655.0
간장게장,고춧가루,911,249,0.273,250.0,663.0
간장게장,생강,911,200,0.22,201.0,712.0
간장게장,청양고추,911,185,0.203,186.0,727.0
간장게장,계란,911,152,0.167,153.0,760.0
간장게장,고추장,911,137,0.15,138.0,775.0
간장게장,돼지고기,911,136,0.149,137.0,776.0
간장게장,당근,911,132,0.145,133.0,780.0
간장게장,쪽파,911,125,0.137,126.0,787.0
간장게장,소고기,911,123,0.135,124.0,789.0
간장게장,굴소스,911,109,0.12,110.0,803.0
간장게장,오이,911,96,0.105,97.0,816.0
간장게장,밥,911,94,0.103,95.0,818.0
간장게장,표고버섯,911,89,0.098,90.0,823.0
간장게장,무,911,88,0.097,89.0,824.0
간장게장,전분,911,86,0.094,87.0,826.0
간장게장,두부,911,77,0.085,78.0,835.0
간장게장,닭고기,911,73,0.08,74.0,839.0
간장게장,김,911,72,0.079,73.0,840.0
간장게장,깻잎,911,62,0.068,63.0,850.0
간장게장,멸치,911,62,0.068,63.0,850.0
간장게장,부추,911,60,0.066,61.0,852.0
간장게장,다시마,911,59,0.065,60.0,853.0
간장게장,양배추,911,57,0.063,58.0,855.0
간장게장,새우,911,53,0.058,54.0,859.0
간장게장,매실액,911,51,0.056,52.0,861.0
간장게장,애호박,911,51,0.056,52.0,861.0
간장게장,파프리카,911,48,0.053,49.0,864.0
간장게장,쌀,911,48,0.053,49.0,864.0
간장게장,육수,911,44,0.048,45.0,868.0
간장게장,들기름,911,42,0.046,43.0,870.0
간장게장,멸치액젓,911,41,0.045,42.0,871.0
간장게장,연겨자,911,40,0.044,41.0,872.0
간장게장,배추김치,911,39,0.043,40.0,873.0
간장게장,밀가루,911,37,0.041,38.0,875.0
간장게장,된장,911,36,0.04,37.0,876.0
간장게장,가지,911,35,0.038,36.0,877.0
간장게장,버터,911,33,0.036,34.0,879.0
간장게장,치즈,911,32,0.035,33.0,880.0
간장게장,오징어,911,32,0.035,33.0,880.0
간장게장,레몬즙,911,32,0.035,33.0,880.0
간장게장,부침가루,911,32,0.035,33.0,880.0
간장게장,감자,911,31,0.034,32.0,881.0
간장게장,깨,911,31,0.034,32.0,881.0
간장게장,팽이버섯,911,31,0.034,32.0,881.0
간장게장,배추,911,30,0.033,31.0,882.0
간장게장,채소,911,29,0.032,30.0,883.0
간장게장,떡,911,29,0.032,30.0,883.0
간장게장,새송이버섯,911,29,0.032,30.0,883.0
간장게장,숙주,911,28,0.031,29.0,884.0
간장게장,콩나물,911,27,0.03,28.0,885.0
간장게장,꿀,911,27,0.03,28.0,885.0
간장게장,치킨파우더,911,27,0.03,28.0,885.0
간장게장,마요네즈,911,25,0.027,26.0,887.0
간장게장,미나리,911,25,0.027,26.0,887.0
간장게장,월계수잎,911,25,0.027,26.0,887.0
간장게장,어묵,911,25,0.027,26.0,887.0
간장게장,우엉,911,24,0.026,25.0,888.0
간장게장,청경채,911,24,0.026,25.0,888.0
간장게장,느타리버섯,911,24,0.026,25.0,888.0
간장게장,케첩,911,23,0.025,24.0,889.0
간장게장,연근,911,21,0.023,22.0,891.0
간장게장,우유,911,20,0.022,21.0,892.0
간장게장,당면,911,20,0.022,21.0,892.0
간장게장,두반장,911,20,0.022,21.0,892.0
간장게장,레몬,911,19,0.021,20.0,893.0
간장게장,현미밥,911,19,0.021,20.0,893.0
간장게장,유자청,911,18,0.02,19.0,894.0
간장게장,소면,911,17,0.019,18.0,895.0
간장게장,방울토마토,911,17,0.019,18.0,895.0
간장게장,토마토,911,17,0.019,18.0,895.0
간장게장,브로콜리,911,16,0.018,17.0,896.0
간장게장,샐러리,911,16,0.018,17.0,896.0
간장게장,배,911,16,0.018,17.0,896.0
