ingredient_cleaned,count
밥,198
오이,196
콩나물,99
치킨파우더,99
마요네즈,86
레몬즙,75
쌀,73
깨,72
월계수잎,70
연겨자,68
부침가루,59
청경채,58
꿀,55
가지,53
미나리,52
우엉,44
두반장,44
만가닥버섯,44
토마토,40
치킨스톡,40
죽순,37
레몬,37
파슬리가루,35
방울토마토,34
브로콜리,34
카레가루,33
현미밥,33
연근,33
베이컨,32
참치액,30
샐러리,30
고수,29
유자청,27
사과,27
달래,26
와인,25
청피망,25
참치캔,25
소면,23
빵가루,22
아보카도,22
노두유,22
치킨육수,21
굴,21
파슬리,21
대추,20
양송이버섯,20
피망,19
상추,19
녹말가루,19
연유,18
페페론치노,18
양상추,17
검은깨,17
가쓰오부시,17
팔각,17
스파게티면,17
토르티야,16
쯔유,16
파스타면,16
밤,16
맛살,16
냉이,16
토마토소스,15
찹쌀,15
바지락,15
들깨가루,15
올리브,15
생면,15
산초기름,15
라임,14
잣가루,14
홍피망,14
고구마,13
피쉬소스,13
호두,13
땅콩,13
채수,13
청상추,12
명란젓,12
비엔나소시지,12
라이스페이퍼,12
와사비,12
산초가루,12
적채,11
치커리,11
주꾸미,11
춘장,11
차가운물,11
로즈마리,11
파,11
건미역,11
다진잣,11
봄동,11
소시지,11
면수,11
메밀면,11
낙지,10
샬롯,10
불린샤미,10
꼬막,10
꼬치,10
스위트칠리소스,10
잣,10
청양초,10
정종,10
칠리소스,9
두릅,9
페퍼론치노,9
허브가루,9
메추리알,9
파인애플,9
머스터드소스,9
비트,9
식물성유,9
셀러리,9
얼음,9
불린쌀,9
세발나물,9
아스파라거스,8
홀그레인머스터드,8
타임,8
총장즙,8
이태리파슬리,8
루꼴라,8
황태,8
참치,8
기름,8
은행,8
메이플시럽,8
중면,8
불린찹쌀,8
스리라차소스,8
스리라차,8
발사믹,8
골뱅이통조림,8
돌나물,8
알룰로스,8
머스터드,7
홀토마토,7
치킨스톡큐브,7
공기밥,7
바질,7
잡육육수,7
잡곡밥,7
곤약,7
홍합,7
생굴,7
연와사비,7
크래미,7
유부,7
미더덕,7
취나물,7
더덕,6
시판깨소스,6
오렌지,6
항정살,6
누룽지,6
옥수수통조림,6
날치알,6
비트즙,6
다진견과류,6
불린녹두,6
라면사리,6
버섯,6
우스터소스,6
바지락조개,6
황기,6
큐민가루,6
로메인,6
파기름,6
황태채,6
들깻가루,6
가다랑어포,6
고등어,6
잎상추,5
도라지,5
참마,5
백만송이버섯,5
면,5
깍두기,5
엑스트라버진,5
끓는물,5
송로오일,5
완숙토마토,5
아몬드,5
깐밤,5
완두콩,5
청국장,5
마,5
팥앙금,5
베이크드빈스,5
식용꽃,5
실곤약,5
레몬제스트,5
슈가파우더,5
깐은행,5
라임즙,5
토마토페이스트,5
조리유,5
흰쌀밥,5
꼬시래기,5
생연어,5
베이컨슬라이스,5
비건마요네즈,5
현미,5
톳,5
참나물,5
버섯류,4
시판토마토소스,4
만다리버섯,4
이스트,4
취청오이,4
쌀국수면,4
삶은고사리,4
갈릭칠리페이스트,4
멥쌀,4
휘핑크림,4
미국피칸,4
삶은시래기나물,4
비타민,4
견과류,4
포도씨오일,4
대추방울토마토,4
흰만가닥버섯,4
현미즉석밥,4
인삼,4
흑임자,4
쫄면,4
후리가케,4
냉동유부,4
술,4
미삼,4
그릭요거트,4
할라피뇨,4
로즈메리,4
바게트,4
케일,4
백미,4
도토리묵,4
다진땅콩,4
해물코인육수,4
연어,4
우동면,4
불린현미,4
비정제당,4
청포묵,4
생곤드레,4
대하,4
돈가스소스,4
홍합살,4
바지락살,4
강황가루,4
순살고등어,4
도토리가루,4
쓰리라차소스,4
손질낙지,3
토마토캔,3
카레파우더,3
건바질,3
모듬견과류,3
해선장,3
깍두기국물,3
조리용술,3
홀그레인머스타드,3
땅콩가루,3
사리곰탕수프,3
고사리,3
연두,3
차이브,3
모닝빵,3
동그랑땡,3
오이피클,3
유부주머니,3
맛밤,3
페투치네면,3
스파게티,3
딸기,3
마라소스,3
프랑크소시지,3
불린미역,3
매생이,3
크랜베리,3
저염명란젓,3
소바면,3
데친고사리,3
양송이,3
다진세이지,3
시나몬파우더,3
모시조개,3
딜,3
볶은땅콩,3
쌀밥,3
표고,3
소꼬리,3
겨자,3
오레가노,3
레디쉬,3
부,3
해파리,3
생중화면,3
꽁치통조림,3
고사리나물,3
템페,3
라임또는레몬즙,3
한식채수,3
모둠건해초,3
메밀국수,3
시판낫또,3
양념장어,3
해조류2~3가지,3
양장피,3
찬밥,3
라면,3
찜용콩나물,3
새싹,3
스윗칠리소스,3
가리비속살,3
통조림국물,3
골뱅이국물,3
은달래,3
물미역,3
어린잎새싹,3
조갯살,3
해물데친물,3
삼치,3
낫또,3
훈제오리,3
가쓰오다시,3
손질장어,3
족발,3
파채,3
라디치오,3
다진베이컨,3
